iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
FRA,Europe,France,2022-02-03,20199291.0,274352.0,289231.0,131919.0,264.0,262.429,299594.954,4069.176,4289.861,1956.617,3.916,3.892,1.09,3643.0,54.033,32852.0,487.259,2089.0,30.984,19484.0,288.986,1330794.0,234830173.0,3482.99,19.738,1026960.0,15.232,0.343,2.9,people tested,137201302.0,53811642.0,51597756.0,32865741.0,224077.0,226385.0,203.5,79.81,76.53,48.75,3358.0,11910.0,0.018,69.44,67422000.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,2022-02-03,49521.0,790.0,211.0,636.0,0.0,0.0,175274.48,2796.124,746.813,2251.057,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,2022-02-03,47148.0,223.0,97.0,301.0,0.0,0.0,20689.573,97.857,42.566,132.085,0.0,0.0,0.95,,,,,,,,,,1541274.0,676.345,,1693.0,0.743,0.061,16.3,tests performed,519058.0,284889.0,234169.0,,,3277.0,22.78,12.5,10.28,,1438.0,1282.0,0.056,47.22,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,2022-02-03,11863.0,0.0,41.571,364.0,0.0,2.429,4770.125,0.0,16.716,146.365,0.0,0.977,0.41,,,,,,,,,,139940.0,56.27,,289.0,0.116,0.144,7.0,tests performed,349875.0,317855.0,304688.0,,,2299.0,14.07,12.78,12.25,,924.0,2283.0,0.092,13.89,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,2022-02-03,1250108.0,23664.0,19991.429,15102.0,42.0,37.429,314115.403,5946.068,5023.259,3794.689,10.553,9.405,1.6,,,,,,,,,77584.0,12506994.0,3142.64,19.495,44180.0,11.101,0.452,2.2,tests performed,2742134.0,1516856.0,1225278.0,,5544.0,6700.0,68.9,38.11,30.79,,1684.0,5495.0,0.138,44.44,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,2022-02-03,10723644.0,248652.0,178005.857,118508.0,169.0,145.714,127813.871,2963.654,2121.631,1412.483,2.014,1.737,1.41,2264.0,26.984,,,1468.0,17.497,5005.0,59.654,,102009068.0,1215.834,,362625.0,4.322,0.406,2.5,tests performed,166138442.0,63122710.0,61762157.0,44852424.0,317391.0,269469.0,198.02,75.24,73.61,53.46,3212.0,24944.0,0.03,84.26,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
GHA,Africa,Ghana,2022-02-03,157220.0,300.0,118.286,1404.0,9.0,2.857,4954.6,9.454,3.728,44.245,0.284,0.09,0.98,,,,,,,,,6253.0,2250718.0,70.929,0.197,4031.0,0.127,0.029,34.1,tests performed,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,2022-02-03,13394.0,151.0,136.143,101.0,0.0,0.143,397554.243,4481.909,4040.927,2997.833,0.0,4.24,,,,,,,,,,,,,,,,,,,111323.0,41379.0,40742.0,29202.0,101.0,80.0,330.42,122.82,120.93,86.68,2375.0,5.0,0.015,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,2022-02-03,2002206.0,17662.0,19181.571,23833.0,112.0,107.143,193062.853,1703.06,1849.584,2298.099,10.8,10.331,0.98,,,,,200.0,19.312,2946.0,284.087,277070.0,58032400.0,5595.778,26.716,291760.0,28.133,0.066,15.2,samples tested,19283221.0,7779247.0,7327559.0,4893896.0,37335.0,44488.0,185.94,75.01,70.66,47.19,4290.0,7752.0,0.075,,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,2022-02-03,10925.0,104.0,80.857,6.0,0.0,0.143,192111.557,1828.797,1421.839,105.507,0.0,2.512,,,,,,,,,,,,,,,,,,,79562.0,41201.0,38361.0,,14.0,6.0,139.91,72.45,67.46,,106.0,4.0,0.007,30.56,56868.0,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
